KEY,FREQ,REF_AREA,ADJUSTMENT,STS_CONCEPT,STS_CLASS,STS_INSTITUTION,STS_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1999-12,71.35,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-01,70.82,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-02,72.93,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-03,73.12,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-04,74.25,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-05,76.32,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-06,69.71,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-07,67.32,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-08,68.38,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-09,72.93,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-10,73.64,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-11,72.74,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,2000-12,70.58,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
